,Store / Vendor, Amount,Expense Category,Notes (Optional),,Date (MM-DD-YYYY)
,Akosua,500,Gifts,,expense,2022-11-22
,Self,0,Clothing,,expense,2022-11-22
,Self,300,Pocket Money,Took it for pocked,expense,2022-11-28
,Self,250,Pocket Money,,expense,2022-12-10
,Self,100,Pocket Money,,expense,2022-12-19
,Self,150,Pocket Money,,expense,2022-12-21
,Self,100,Pocket Money,,expense,2022-12-24
,Self,200,Pocket Money,"Two Fowls 45 for Drinks, ",expense,2022-12-30
,Self,100,Pocket Money,,expense,2023-01-01
,Self,100,Pocket Money,,expense,2023-01-04
,self,100,Pocket Money,,expense,2023-01-06
,Self,50,Pocket Money,,expense,2023-01-09
,Self,90,Pocket Money,,expense,2023-01-11
,Maine University,839,Emergency payment,,expense,2023-01-12
,Self,20,Pocket Money,,expense,2023-01-12
,Self,4,Telecom,,expense,2023-01-13
,Self,200,Pocket Money,,expense,2023-01-12
,Ali Express,133,Online shopping,,expense,2023-01-18
,Clinton,100,Gifts,,expense,2023-01-19
,Self,100,Clothing,,expense,2023-01-19
,Self,100,Restaurant,Pizza,expense,2023-01-22
,Self,130,Pocket Money,,expense,2023-01-23
,Self,100,Pocket Money,,expense,2023-01-25
,Self,240,Public transportation,,expense,2023-01-27
,Landlady,70,Utilities,,expense,2023-01-31
,Self,50,Pocket Money,,expense,2023-02-02
,Self,100,Other,Soup,expense,2023-02-05
,Self,400,Other,Utility + Dress,expense,2023-02-03
,Self,80,Restaurant,,expense,2023-02-09
,Akosua,300,Gifts,,expense,2023-02-10
,Self,100,Pocket Money,,expense,2023-02-10
,Loan to Daa Adoma,"1,000",Lending,,expense,2023-02-13
,Vals,460,Gifts,,expense,2023-02-14
,Self,100,Groceries,,expense,2023-02-16
,Self,100,Groceries,,expense,2023-02-17
,Self,100,Groceries,Gravy,expense,2023-02-19
,Mike,30,Debt,,expense,2023-02-21
,self,100,Restaurant,,expense,2023-02-22
,Landlady,70,Utilities,Li Bill,expense,2023-02-24
,Self,30,Restaurant,Food,expense,2023-02-24
,Self,130,Food,,expense,2023-02-25
,Kedia,20,Gifts,,expense,2023-02-26
,Self,20,Impulse buying,Sporty bet,expense,2023-02-26
,Self,35,Food,I and Clinton Waakye,expense,2023-02-27
,Self,5,Public transportation,,expense,2023-02-27
,Self,30,Emergency payment,iphone Charger,expense,2023-02-27
,Self,60,Food,Pice (2 spag),expense,2023-02-28
,Self,20,Food,Food and Transport,expense,2023-02-28
,Self,15,Food,Kelewele,expense,2023-03-01
,Akosua's latop money,30,Debt,Send a total of 44 to momo,expense,2023-03-01
,Akosua,100,Gifts,Pizza,expense,2023-03-03
,Landlady,57,Utilities,,expense,2023-03-04
,Laptop ,23,Debt,Took it from the laptop money,expense,2023-03-04
,Self,20,Pocket Money,,expense,2023-03-04
,Kedia,215,Gifts,,expense,2023-03-05
,Self,75,Pocket Money,,expense,2023-03-05
,Self,100,Groceries,,expense,2023-03-06
,Self,50,Public transportation,,expense,2023-03-06
,self,60,Food,Shawarma,expense,2023-03-06
,Self,212,Food,Drinks,expense,2023-03-09
,self,30,Food,Waakye,expense,2023-03-09
,Self,30,Food,Fufu with Amponsah,expense,2023-03-10
,Self,30,Restaurant,Spag at Pice,expense,2023-03-10
,Self,7,Food,Water bag,expense,2023-03-10
,Self,2,Telecom,,expense,2023-03-10
,Self,157,Groceries,Milk and T Roll,expense,2023-03-11
,Self,20,Pocket Money,,expense,2023-03-11
,Self,8,Telecom,,expense,2023-03-12
,Self,100,Food,,expense,2023-03-13
,Self,50,Public transportation,,expense,2023-03-13
,Self,70,Food,Groundnut soup,expense,2023-03-14
,Self,50,Groceries,Gravy,expense,2023-03-15
,Irene,300,Gifts,,expense,2023-03-15
,Clinton,100,Gifts,,expense,2023-03-15
,Self,5,Telecom,,expense,2023-03-17
,Self,110,Restaurant,Pizza + Shawarma,expense,2023-03-19
,Self,10,Telecom,,expense,2023-03-19
,Self,60,Restaurant,Spag + Jollof,expense,2023-03-20
,Self,50,Pocket Money,Gravy + Yam,expense,2023-03-21
,Self,50,Food,,expense,2023-03-23
,Self,270,Restaurant,,expense,2023-03-24
,Self,80,Food,,expense,2023-03-26
,Self,60,Food,,expense,2023-03-27
,Self,20,Food,,expense,2023-03-28
,Self,60,Food,Spag + Jollof,expense,2023-03-31
,Self,20,Pocket Money,,expense,2023-03-31
,Nelson,20,Gifts,,expense,2023-04-01
,self,40,Food,,expense,2023-04-01
,Self,160,Emergency payment,Chair,expense,2023-04-01
,Self,54,Food,Spag Home,expense,2023-04-01
,Self,50,Food,,expense,2023-04-02
,Self,50,Food,Fufu + Jollof ,expense,2023-04-03
,Self,50,Food,Indomie,expense,2023-04-03
,Self,60,Food,Spag,expense,2023-04-04
,Self,80,Groceries,Royal Aroma Rice,expense,2023-04-04
,Self,120,Utilities,,expense,2023-04-05
,Self,10,Food,Gari,expense,2023-04-05
,Self,50,Gifts,Kedia,expense,2023-04-05
,Self,30,Pocket Money,Fufu,expense,2023-04-05
,Self,10,Food,Kelewele,expense,2023-04-05
