Name,Amount,Type,Date,Beneficiary
Yam,34,expense,12/23/2024,Self
Hot chocolate,8,expense,12/23/2024,Self
Dollar tree,23,expense,12/23/2024,Self
Asad,25,expense,12/25/2024,Self
Gift card,25,expense,12/23/2024,Self
Yam,17,expense,12/23/2024,Self
Uber,16,expense,12/23/2024,Self
Third road test,35,expense,12/22/2024,Self
Family dollar,18,expense,12/27/2024,Self
Dippin donut,4,expense,12/27/2024,Self
Sound bar and accessories,27,expense,12/27/2024,Self
Uber,11,expense,12/25/2024,Self
Fourth road test,35,expense,12/25/2024,Self
Monitor,48,expense,12/28/2024,Self
Power cord and hdmi,16,expense,01/02/2025,Self
Waakye,15,expense,01/02/2025,Self
Laptop stand,7,expense,01/05/2025,Self
iPhone cable,20,expense,01/06/2025,Self
Yam tuber,11,expense,01/06/2025,Self
Pomade,19,expense,01/07/2025,Self
File Organizer,9,expense,01/07/2025,Self
HDMI cable,7,expense,01/08/2025,Self
